0.23753+0.00374j
0.96464-0.03519j
0.93635-0.06325j
0.90806-0.09131j
0.87976-0.11937j
0.34911-0.12450j
0.85145-0.14743j
0.82314-0.17548j
0.19006-0.18282j
0.79482-0.20353j
0.47490-0.20873j
0.76649-0.23159j
0.36850-0.23882j
0.73812-0.25969j
0.58721-0.26716j
0.51292-0.28663j
0.70887-0.28766j
0.68286-0.30761j
0.63610-0.32520j
0.67764-0.34373j
0.67451-0.38983j
0.67321-0.43580j
0.67232-0.48326j
0.67159-0.53241j
0.67097-0.58327j
0.67043-0.63588j
0.66997-0.69025j
0.66957-0.74641j
0.66923-0.80439j
0.66894-0.86418j
